"File","Path","Size","Modified Time","Access Time","Created Time","MD5","Owner","Group","Model"
"Sublime Text 2.0.2 x64.tar.bz2","/home/karson/Desktop/p-forensics/Sublime Text 2.0.2 x64.tar.bz2","5662968","Sun Jul  7 18:52:02 2013","Wed Nov 26 16:27:51 2014","Wed Nov 26 16:27:48 2014","699CD26D7FE0BADA29EB1B2CD7B50E4B","1000","1000","33204"
"README.md","/home/karson/Desktop/p-forensics/README.md","95","Wed Nov 26 16:03:04 2014","Wed Nov 26 16:03:05 2014","Wed Nov 26 16:03:04 2014","AFB22A98062AFC5D271A15192DDE98D9","1000","1000","33204"
